2016-12-03T13:58:57.130Z,2565
2016-12-04T17:11:30.352Z,6083
2016-12-05T17:25:24.293Z,9056
2016-12-06T17:13:55.472Z,10238
2016-12-07T17:24:47.999Z,17725
2016-12-08T17:49:50.745Z,8983
2016-12-09T17:10:52.647Z,12752
2016-12-11T18:43:41.766Z,9487
2016-12-12T16:32:53.152Z,13148
2016-12-13T17:24:21.217Z,12472
2016-12-14T11:27:16.980Z,1808
2016-12-15T17:32:25.838Z,8162
2016-12-16T14:45:17.000Z,7376
2016-12-19T17:35:46.822Z,12392
2016-12-20T17:45:51.730Z,13696
2016-12-21T17:12:13.034Z,13937
2016-12-22T16:29:15.160Z,10740
2016-12-23T11:19:38.148Z,3436
2016-12-27T16:10:27.300Z,4549
2016-12-29T16:44:41.777Z,8874
2016-12-30T16:45:02.637Z,10053
2017-01-02T18:05:57.032Z,8223
2017-01-03T17:05:50.885Z,7823
2017-01-04T16:44:08.322Z,5581
2017-01-05T16:59:35.117Z,7538
2017-01-06T18:11:52.911Z,10331
2017-01-09T17:08:41.137Z,11702
2017-01-10T17:51:46.263Z,8696
2017-01-11T16:30:26.360Z,3379
2017-01-12T18:14:45.423Z,11294
2017-01-13T13:47:14.319Z,3254
2017-01-14T14:31:56.239Z,8266
2017-01-16T17:06:31.116Z,9966
2017-01-17T16:18:49.056Z,10760
2017-01-18T17:10:00.360Z,4367
2017-01-19T16:34:01.782Z,2552
2017-01-20T12:57:26.323Z,2
2017-01-30T17:48:34.991Z,6685
2017-01-31T17:04:10.844Z,2140
2017-02-01T17:03:59.891Z,4033
2017-02-02T17:53:57.598Z,17
2017-02-07T14:02:33.780Z,1447
2017-02-08T18:04:34.168Z,5020
2017-02-09T09:26:28.956Z,370
2017-02-10T13:56:06.148Z,952
2017-02-13T17:45:58.376Z,2529
2017-02-15T16:07:19.275Z,4205
2017-02-16T15:36:37.084Z,1628
2017-02-22T14:55:59.615Z,3487
2017-02-23T15:27:31.580Z,170
2017-02-27T08:16:24.594Z,1724
